!SIL	sil
<UNK>	sil
អញ្ញូ	ʔ a ɲ ɲ oʊ
អញ្ញោបត្ថម្ភិត	ʔ a ɲ ɲ aɔ p a t tʰ ɑ m pʰ i t
អញ	ʔ a ɲ
អដដ	ʔ a ʔ d a ʔ d a ʔ
អដវី	ʔ a ʔ d a ʔ β̞ iː
អដ្ដ	ʔ a t d a ʔ
អដ្ឋកថា	ʔ a t tʰ a ʔ k a ʔ tʰ aː
អដ្ឋបរិក្ខារ	ʔ a t tʰ a ʔ p a ʔ r e kʰ aː
អដ្ឋបាន	ʔ a t tʰ a ʔ b aː n
អដ្ឋរស្ស	ʔ a t tʰ a ʔ r ɛă h s a ʔ
អដ្ឋិចម្មជាតិ	ʔ a t tʰ e c a m m ɛă ʔ c iɜ t
អដ្ឋិ	ʔ a t tʰ e
អដ្ឋ	ʔ a t tʰ a ʔ
អឌ្ឍគោល	ʔ a t tʰ a ʔ k oː l
អឌ្ឍចន្ទ	ʔ a t tʰ a ʔ c a n
អឌ្ឍយោគ	ʔ a t tʰ a ʔ j oː k
អឌ្ឍោជុតា	ʔ a t tʰ aɔ c ʋ t aː
អឌ្ឍ	ʔ a t tʰ ɛă ʔ
អណត្ដិ	ʔ a ʔ n a t
អណត្តិ	ʔ a ʔ n a t
អណុច	ʔ a ʔ n o c
អណូ	ʔ a ʔ n oʊ
អណ្ដល់	ʔ ɑ n d ɑ l
អណ្ដាក់អណ្ដល់	ʔ ɑ n d a ʔ ʔ ɑ n d ɑ l
អណ្ដាក់	ʔ ɑ n d a ʔ
អណ្ដាតគោ	ʔ ɑ n d aː t k oː
អណ្ដាតឆ្កែ	ʔ ɑ n d aː t cʰ k aɛ
អណ្ដាតឆ្លាម	ʔ ɑ n d aː t cʰ l aː m
អណ្ដាតសមុទ្រ	ʔ ɑ n d aː t s a ʔ m o t
អណ្ដាត	ʔ ɑ n d aː t
អណ្ដាប់អណ្ដា	ʔ ɑ n d a p ʔ ɑ n d aː
អណ្ដាប់អណ្ដោយ	ʔ ɑ n d a p ʔ ɑ n d aɔ j
អណ្ដាប់	ʔ ɑ n d a p
អណ្ដឺត	ʔ ɑ n d ɜɘ t
អណ្ដូង	ʔ ɑ n d oʊ ŋ
អណ្ដើកមាស	ʔ ɑ n d aɜ k m iɜ h
អណ្ដើក	ʔ ɑ n d aɜ k
អណ្ដើរ	ʔ ɑ n d aɜ
អណ្ដែតត្រសែត	ʔ ɑ n d aɛ t t r ɑː s aɛ t
អណ្ដែតអណ្ដូង	ʔ ɑ n d aɛ t ʔ ɑ n d oʊ ŋ
អណ្ដែត	ʔ ɑ n d aɛ t
អណ្ដោត	ʔ ɑ n d aɔ t
អណ្ឌា	ʔ ɑ n d iɜ
អណ្ឌៈ	ʔ ɑ n d ɛă ʔ
អណ្ឌ	ʔ ɑ n d ɛă ʔ
អណ្ណព	ʔ ɑ n n ʋ p
អណ្ណាម	ʔ a n n aː m
អណ្តាត	ʔ ɑ n t aː t
អណ្តឺត	ʔ ɑ n t ɜɘ t
អតប្បា	ʔ a ʔ t a p p aː
អតិកថា	ʔ a ʔ t e k a ʔ tʰ aː
អតិចណ្ឌាល	ʔ a ʔ t e c a n d iɜ l
អតិចរិយា	ʔ a ʔ t e c a ʔ r e j aː
អតិចារជាតិ	ʔ a ʔ t e c aː r a ʔ c iɜ t
អតិតរុណ	ʔ a ʔ t e t a ʔ r o n
អតិត	ʔ a ʔ d e t
អតិថិជន	ʔ a ʔ t e tʰ e c ʋ n
អតិថិ	ʔ a ʔ t e tʰ e
អតិបរមា	ʔ a ʔ t e p a ʔ r a ʔ m aː
អតិផរណា	ʔ a ʔ t e pʰ ɑː r ɔː n aː
អតិផល	ʔ a ʔ t e pʰ ɑ l
អតិវិសាល	ʔ a ʔ t e β̞ i s aː l
អតិសារ	ʔ a ʔ t e s aː
អតិ	ʔ a ʔ t e
អតីតជន	ʔ a ʔ t ɜi t a ʔ c ʋ n
អតីតភាព	ʔ a ʔ t ɜi t a ʔ pʰ iɜ p
អតីត	ʔ a ʔ d e t
អតុល្យភាព	ʔ a ʔ t o l j ɛă ʔ pʰ iɜ p
អតុល្យ	ʔ a ʔ t o l j ɛă ʔ
អត់ទោស	ʔ ɑ t t oː h
អត់ទ្រាំ	ʔ ɑ t t r oă m
អត់ធន់	ʔ ɑ t tʰ ʋ n
អត់ធ្មត់	ʔ ɑ t tʰ m ʋ t
អត់អាហារ	ʔ ɑ t ʔ aː h aː
អត់ឱន	ʔ ɑ t ʔ aɔ n
អត់	ʔ ɑ t
អត្ដឃាត	ʔ a t t a ʔ kʰ iɜ t
អត្ដសញ្ញាណ	ʔ a t t a ʔ s a ɲ ɲ aː n
អត្ដ	ʔ a t t a ʔ
អត្តខាត់	ʔ a t t a ʔ kʰ a t
អត្តឃាតកម្ម	ʔ a t t a ʔ kʰ iɜ t a ʔ k a m
អត្តឃាត	ʔ a t t a ʔ kʰ iɜ t
អត្តចរិត	ʔ a t t a ʔ c a ʔ r e t
អត្តនោបទ	ʔ a t t a ʔ n aɔ b ɑ t
អត្តនោម័តិ	ʔ a t t a ʔ n aɔ m a t
អត្តនោម័ត	ʔ a t t a ʔ n aɔ m a t
អត្តពលកម្ម	ʔ a t t a ʔ p ʋ l l ɛă ʔ k a m
អត្តសញ្ញាណប័ណ្ណ	ʔ a t t a ʔ s a ɲ ɲ aː n a ʔ b a n
អត្តសញ្ញាណ	ʔ a t t a ʔ s a ɲ ɲ aː n
អត្តា	ʔ a t t aː
អត្តិខាត់	ʔ a t t e kʰ a t
អត្តិ	ʔ a t t e
អត្តុ	ʔ a t t o
អត្តៈ	ʔ a t t a ʔ
អត្ត	ʔ a t t a ʔ
អត្ថកោវិទ	ʔ a t tʰ a ʔ k aɔ β̞ i t
អត្ថង្គត	ʔ a t tʰ ɑ ŋ k ʋ t
អត្ថន័យ	ʔ a t tʰ a ʔ n ɘi
អត្ថបទ	ʔ a t tʰ a ʔ b ɑ t
អត្ថរស	ʔ a t tʰ a ʔ r uɜ h
អត្ថរូប	ʔ a t tʰ a ʔ r uː p
អត្ថសង្គហៈ	ʔ a t tʰ a ʔ s ɑ ŋ k ɛă ʔ h a ʔ
អត្ថសម្ពន្ធ	ʔ a t tʰ a ʔ s ɑ m p oă n
អត្ថសាធក	ʔ a t tʰ a ʔ s aː tʰ ɔ ʔ
អត្ថាធិប្បាយ	ʔ a t tʰ aː tʰ i b aː j
អត្ថាបដិរូប	ʔ a t tʰ aː p a ʔ d e r uː p
អត្ថា	ʔ a t tʰ aː
អត្ថិភាព	ʔ a t tʰ e pʰ iɜ p
អត្ថិ	ʔ a t tʰ e
អត្ថ	ʔ a t tʰ a ʔ
អត្រជា	ʔ a t t r a ʔ c iɜ
អត្រជៈ	ʔ a t t r a ʔ c ɛă ʔ
អត្រា	ʔ a t t r aː
អត	ʔ ɑː t
អថព្វ	ʔ a ʔ tʰ a p
អថាធិប្បាយ	ʔ a ʔ tʰ aː tʰ i b aː j
អថិរភាព	ʔ a ʔ tʰ ɛe r a ʔ pʰ iɜ p
អថិរ	ʔ a ʔ tʰ ɛe
អថេរ	ʔ a ʔ tʰ ɛe
អថ៌	ʔ oa
អថ័ន	ʔ a ʔ tʰ a n
អទាយាទ	ʔ a ʔ t iɜ j iɜ t
អទារជន	ʔ a ʔ t iɜ r ɛă ʔ c ʋ n
អទារុណ	ʔ a ʔ t iɜ r ʋ n
អទារ	ʔ a ʔ t iɜ
អទាសតា	ʔ a ʔ t iɜ s a ʔ t aː
អទាស	ʔ a ʔ t iɜ s a ʔ
អទិដ្ឋមិត្ត	ʔ a ʔ t i t tʰ a ʔ m i t
អទិដ្ឋ	ʔ a ʔ t i t tʰ a ʔ
អទិតិ	ʔ a ʔ t i t e
អទិន្ន	ʔ a ʔ t i n n ɛă ʔ
អទិភាព	ʔ a ʔ t i pʰ iɜ p
អទិស្សមាន	ʔ a ʔ t i h s a ʔ m aː n
អទេវនិយម	ʔ a ʔ t eː β̞ ɛă ʔ n i j ʋ m
អទ្ធគូ	ʔ a t tʰ ɛă ʔ k uː
អទ្ធាន	ʔ a t tʰ iɜ n
អទ្ធា	ʔ a t tʰ iɜ
អទ្ធ	ʔ a t
អធម៌	ʔ a ʔ tʰ oa
អធម្មកម្ម	ʔ a ʔ tʰ oă m m ɛă ʔ k a m
អធម្មនុញ្ញភាព	ʔ a ʔ tʰ oă m m n ʋ ɲ ɲ ɛă ʔ pʰ iɜ p
អធម្ម	ʔ a ʔ tʰ oă m
អធម	ʔ a ʔ tʰ oă m
អធរមាន	ʔ a ʔ tʰ ɔː r ɔː m iɜ n
អធិកអធម	ʔ a ʔ tʰ ɘ k ʔ a ʔ tʰ oă m
អធិចិត្ត	ʔ a ʔ tʰ i c e t
អធិជេដ្ឋា	ʔ a ʔ tʰ i c eː t tʰ aː
អធិជេដ្ឋ	ʔ a ʔ tʰ i c eː t
អធិជ័យ	ʔ a ʔ tʰ i c ɘi
អធិជ្យោតិស	ʔ a ʔ tʰ i c j oː t e s a ʔ
អធិដ្ឋាន	ʔ a ʔ tʰ i t tʰ aː n
អធិបតីភាព	ʔ a ʔ tʰ i p a ʔ d ɜi pʰ iɜ p
អធិបតី	ʔ a ʔ tʰ i p a ʔ d ɜi
អធិបតេយ្យភាព	ʔ a ʔ tʰ i p a ʔ t ɜi j ɛă ʔ pʰ iɜ p
អធិបតេយ្យ	ʔ a ʔ tʰ i p a ʔ t ai
អធិប្បញ្ញា	ʔ a ʔ tʰ i p a ɲ ɲ aː
អធិប្បញ្ញា	ʔ a ʔ tʰ i p p a ɲ ɲ aː
អធិប្បាយ	ʔ a ʔ tʰ i p b aː j
អធិប	ʔ a ʔ tʰ i p
អធិភូ	ʔ a ʔ tʰ i pʰ uː
អធិមត្ត	ʔ a ʔ tʰ i m a t
អធិមុត្តិ	ʔ a ʔ tʰ i m ʋ t
អធិមោក្ខ	ʔ a ʔ tʰ i m aɔ k
អធិយោគ	ʔ a ʔ tʰ i j oː k
អធិរាជិនី	ʔ a ʔ tʰ i r iɜ c i n iː
អធិរាជ	ʔ a ʔ tʰ i r iɜ c
អធិរោហិណី	ʔ a ʔ tʰ i r oː h e n ɜi
អធិលោក	ʔ a ʔ tʰ i l oː k
អធិវចនៈ	ʔ a ʔ tʰ i β̞ ɛă ʔ c a ʔ n a ʔ
អធិវាសនា	ʔ a ʔ tʰ i β̞ iɜ s n aː
អធិវាសន	ʔ a ʔ tʰ i β̞ iɜ s a ʔ n a ʔ
អធិវាស	ʔ a ʔ tʰ i β̞ iɜ h
អធិសីល	ʔ a ʔ tʰ i s e l
អធិស្ឋាន	ʔ a ʔ tʰ i h s tʰ aː n
អធីន	ʔ a ʔ tʰ iː n a ʔ
អធោ	ʔ a ʔ tʰ oː
អធ្យាស្រ័យ	ʔ a t tʰ j iɜ s r ai
អធ្យោគ	ʔ a t tʰ j oː k
អធ្រាត្រ	ʔ a t tʰ r iɜ t
អធ្រាត	ʔ a t tʰ r iɜ t
អធ្វ័ន	ʔ a t tʰ β̞ oă n
អនគ្ឃា	ʔ a ʔ n a ʔ kʰ iɜ
អនគ្ឃ	ʔ a ʔ n a ʔ
អនង្គណ	ʔ a ʔ n a ŋ k ʋ n
អនង្គ	ʔ a ʔ n ʋ ŋ
អនញ្ញ	ʔ a ʔ n a ɲ
អនដឺ	ʔ ɑː n d ɜɘ
អនឌឺ	ʔ ɑː n d ɨː
អនត្តលក្ខណ	ʔ a ʔ n a t t a ʔ l ɛă ʔ kʰ a ʔ n a ʔ
អនត្តសញ្ញា	ʔ a ʔ n a t t a ʔ s a ɲ ɲ aː
អនត្តា	ʔ a ʔ n a t t aː
អនត្ត	ʔ a ʔ n a t t a ʔ
អនត្ថ	ʔ a ʔ n a t tʰ a ʔ
អនន្ដរ	ʔ a ʔ n ɑ n d ɑː
អនន្តរិយកម្ម	ʔ a ʔ n ɑ n t a ʔ r ɜi j ɛă ʔ k a m
អនន្តរិយ	ʔ a ʔ n ɑ n t a ʔ r ɜi
អនន្តរ	ʔ a ʔ n ɑ n d ɑː
អនន្តា	ʔ a ʔ n ɑ n t aː
អនន្ត	ʔ a ʔ n ɑ n
អនភិសិត្តរាជ	ʔ a ʔ n ɛă ʔ pʰ i s e t t a ʔ r iɜ c
អនរិយ	ʔ a ʔ n a ʔ r e j ɛă ʔ
អនវតប្តៈ	ʔ a ʔ n ɛă ʔ β̞ ɛă ʔ t a p b t a ʔ
អនវ៉ន	ʔ ɑː n β̞ ɑː n
អនស្ចារ្យ	ʔ a ʔ n oă h s c aː
អនឡាញ	ʔ ɑː n l aː ɲ
អនាកុល	ʔ a ʔ n aː k o l
អនាគតិ	ʔ a ʔ n aː k ɛă ʔ t e
អនាគត	ʔ a ʔ n aː k ʋ t
អនាគម	ʔ a ʔ n aː k ʋ m
អនាគាមា	ʔ a ʔ n aː k iɜ m iɜ
អនាគាមិ	ʔ a ʔ n aː k iɜ m i
អនាគាមី	ʔ a ʔ n aː k iɜ m iː
អនាគារិយ	ʔ a ʔ n aː k iɜ r i j ɛă ʔ
អនាគារ	ʔ a ʔ n aː k iɜ
អនាចារ	ʔ a ʔ n aː c aː
អនាតុរភាព	ʔ a ʔ n aː t o r a ʔ pʰ iɜ p
អនាតុរ	ʔ a ʔ n aː t o r a ʔ
អនាថា	ʔ a ʔ n aː tʰ aː
អនាថ	ʔ a ʔ n aː t
អនាទរ	ʔ a ʔ n aː t ɔː
អនាទិភាព	ʔ a ʔ n aː t i pʰ iɜ p
អនាធិបតេយ្យ	ʔ a ʔ n aː tʰ i p a ʔ t ai
អនាធិប្បតេយ្យ	ʔ a ʔ n aː tʰ i p p a ʔ t ɜi
អនាបត្តិ	ʔ a ʔ n aː b a t
អនាមយ	ʔ a ʔ n aː m ɛă ʔ j ɛă ʔ
អនាមរូប	ʔ a ʔ n iɜ m ɛă ʔ r uː p
អនាមឹក	ʔ a ʔ n aː m ɘ k
អនាម័យ	ʔ a ʔ n aː m ai
អនាម	ʔ a ʔ n iɜ m
អនាយ៌	ʔ a ʔ n aː r ɛă ʔ j ɛă ʔ
អនាល័យ	ʔ a ʔ n aː l ai
អនាវាសា	ʔ a ʔ n aː β̞ aː s aː
អនាវាស	ʔ a ʔ n aː β̞ iɜ h
អនាវា	ʔ a ʔ n aː β̞ iɜ
អនាសវា	ʔ a ʔ n aː s a ʔ β̞ aː
អនាសវៈ	ʔ a ʔ n aː s a ʔ β̞ a ʔ
អនាសវ	ʔ a ʔ n aː s a ʔ β̞ a ʔ
អនាស្រព	ʔ a ʔ n aː s r ɑ p
អនាស	ʔ a ʔ n aː h
អនិច្ចកម្ម	ʔ a ʔ n i c c a ʔ k a m
អនិច្ចា	ʔ a ʔ n i c c aː
អនិច្ចំ	ʔ a ʔ n i c c a ŋ
អនិច្ច	ʔ a ʔ n i c
អនិដ្ឋារម្មណ៍	ʔ a ʔ n i t tʰ aː r ɑ m
អនិតិជន	ʔ a ʔ n i t e c ʋ n
អនិទ្រា	ʔ a ʔ n i t t r iɜ
អនិមន្តន៍	ʔ a ʔ n i m ʋ n
អនិមិត្ត	ʔ a ʔ n i m i t
អនិយត	ʔ a ʔ n i j a t
អនិយម	ʔ a ʔ n i j ʋ m
អនិល	ʔ a ʔ n i l
អនិស្សយមុត្តក៍	ʔ a ʔ n i h s a ʔ j a ʔ m ʋ t
អនិស្សយមុត្តក	ʔ a ʔ n i h s a ʔ j a ʔ m ʋ t t a ʔ k a ʔ
អនិស្សយមុត្តិកា	ʔ a ʔ n i h s a ʔ j a ʔ m ʋ t t e k aː
អនិស្សយ	ʔ a ʔ n i h s a ʔ j a ʔ
អនិស្សរ	ʔ a ʔ n i h s a ʔ r a ʔ
អនីតិជន	ʔ a ʔ n iː t e c ʋ n
អនីតិភាព	ʔ a ʔ n iː t e pʰ iɜ p
អនីតិសង្វាស	ʔ a ʔ n iː t e s ɑ ŋ β̞ aː h
អនីតិ	ʔ a ʔ n iː t e
អនុចារី	ʔ a ʔ n ʋ c aː r ɜi
អនុជិតសេនា	ʔ a ʔ n ʋ c i t s ɛe n aː
អនុជិត	ʔ a ʔ n ʋ c i t
អនុជីវិន	ʔ a ʔ n ʋ c iː β̞ i n
អនុជ	ʔ a ʔ n ʋ c
អនុញ្ញាតអោយ	ʔ a ʔ n ʋ ɲ ɲ aː t ʔ aɔ j
អនុញ្ញាតឱ្យ	ʔ a ʔ n ʋ ɲ ɲ aː t ʔ aɔ j
អនុញ្ញាតិ	ʔ a ʔ n ʋ ɲ ɲ aː t
អនុញ្ញាត	ʔ a ʔ n ʋ ɲ ɲ aː t
អនុតំបន់	ʔ a ʔ n ʋ d ɑ m b ɑ n
អនុត្តរ	ʔ a ʔ n ʋ t t ɑː
អនុត្ថេរ	ʔ a ʔ n ʋ t tʰ ɛe
អនុទិស	ʔ a ʔ n ʋ t ɘ h
អនុទូត	ʔ a ʔ n ʋ t uː t
អនុធម្មចារិនី	ʔ a ʔ n ʋ tʰ oă m m ɛă ʔ c aː r e n iː
អនុធម្ម	ʔ a ʔ n ʋ tʰ oă m
អនុនាយក	ʔ a ʔ n ʋ n iɜ j ɔ ʔ
អនុនាសិក	ʔ a ʔ n ʋ n iɜ s e k
អនុបការ	ʔ a ʔ n ʋ p a ʔ k aː
អនុបចារ	ʔ a ʔ n ʋ p a ʔ c aː
អនុបត្ថម្ភក	ʔ a ʔ n ʋ p a t tʰ ɑ m pʰ ɔ ʔ
អនុបត្ថម្ភ	ʔ a ʔ n ʋ p a t tʰ ɑ m
អនុបទេស	ʔ a ʔ n ʋ p a ʔ t eː h
អនុបទ្រព	ʔ a ʔ n ʋ p a ʔ t r ʋ p
អនុបធិ	ʔ a ʔ n ʋ p a ʔ tʰ i
អនុបភោគ	ʔ a ʔ n ʋ p a ʔ pʰ oː k
អនុបមា	ʔ a ʔ n ʋ p a ʔ m aː
អនុបមេយ្យ	ʔ a ʔ n ʋ p a ʔ m ai
អនុបវាទិន	ʔ a ʔ n ʋ p a ʔ β̞ iɜ t i n
អនុបវាទី	ʔ a ʔ n ʋ p a ʔ β̞ iɜ t iː
អនុបវាទ	ʔ a ʔ n ʋ p a ʔ β̞ iɜ t
អនុបសគ្គ	ʔ a ʔ n ʋ p a ʔ s a ʔ
អនុបសម្បន្នា	ʔ a ʔ n ʋ p a ʔ s ɑ m p a n n aː
អនុបសម្បន្ន	ʔ a ʔ n ʋ p a ʔ s ɑ m b a n
អនុបាទិន្នក	ʔ a ʔ n ʋ p aː t i n n ɛă ʔ k a ʔ
អនុបាទិសេសនិព្វាន	ʔ a ʔ n ʋ p aː t i s ɛe s a ʔ n i p p iɜ n
អនុបាទិសេស	ʔ a ʔ n ʋ p aː t i s ɛe h
អនុប្បទាន	ʔ a ʔ n ʋ p a ʔ t iɜ n
អនុប	ʔ a ʔ n ʋ p a ʔ
អនុផល	ʔ a ʔ n ʋ pʰ ɑ l
អនុពាល	ʔ a ʔ n ʋ p iɜ l
អនុភតិកៈ	ʔ a ʔ n ʋ pʰ ɛă ʔ t e k a ʔ
អនុភាព	ʔ a ʔ n ʋ pʰ iɜ p
អនុមតិ	ʔ a ʔ n ʋ m a t t e
អនុមន្ត្រី	ʔ a ʔ n ʋ m ʋ n t r ɜi
អនុមាណ	ʔ a ʔ n ʋ m aː n
អនុមាត្រា	ʔ a ʔ n ʋ m iɜ t r aː
អនុមោទនា	ʔ a ʔ n ʋ m oː t ɛă ʔ n iɜ
អនុម័ត	ʔ a ʔ n ʋ m a t
អនុយោគ	ʔ a ʔ n ʋ j oː k
អនុរវភាព	ʔ a ʔ n ʋ r ɛă ʔ β̞ ɛă ʔ pʰ iɜ p
អនុលោម	ʔ a ʔ n ʋ l aɔ m
អនុវត្ដន៍	ʔ a ʔ n ʋ β̞ oă t
អនុវត្ដ	ʔ a ʔ n ʋ β̞ oă t
អនុវត្តន៍	ʔ a ʔ n ʋ β̞ oă t
អនុវត្ត	ʔ a ʔ n ʋ β̞ oă t
អនុវាត	ʔ a ʔ n ʋ β̞ iɜ t
អនុវិស័យ	ʔ a ʔ n ʋ β̞ i s ai
អនុសញ្ញា	ʔ a ʔ n ʋ s a ɲ ɲ aː
អនុសារណៈ	ʔ a ʔ n ʋ s aː r a ʔ n a ʔ
អនុសារ	ʔ a ʔ n ʋ s aː
អនុសាសន៍	ʔ a ʔ n ʋ s a h
អនុសាស	ʔ a ʔ n ʋ s aː h
អនុសេនានី	ʔ a ʔ n ʋ s ɛe n aː n iː
អនុស្វារ	ʔ a ʔ n ʋ h s β̞ aː r a ʔ
អនុស្សរណៈ	ʔ a ʔ n ʋ h s a ʔ r a ʔ n a ʔ
អនុស្សារណៈ	ʔ a ʔ n ʋ h s aː r a ʔ n a ʔ
អនុស្សាវនក	ʔ a ʔ n ʋ h s aː β̞ a ʔ n a ʔ k a ʔ
អនុស្សាវនា	ʔ a ʔ n ʋ h s aː β̞ a ʔ n aː
អនុស្សាវរីយ៍	ʔ a ʔ n ʋ h s aː β̞ r iː
អនុស្សាវរីយ	ʔ a ʔ n ʋ h s aː β̞ r iː
អនុ	ʔ a ʔ n ʋ
អនេសនៈ	ʔ a ʔ n eː s a ʔ n a ʔ
អនោកាស	ʔ a ʔ n oː k aː h
អនោតត្តស្រះ	ʔ a ʔ n aɔ t a t t a ʔ s r a h
អនោតត្ត	ʔ a ʔ n aɔ t a t
អនោមទស្សី	ʔ a ʔ n aɔ m a ʔ t uɜ h s ɜi
អនោម	ʔ a ʔ n aɔ m
អនោសជ្ជភាព	ʔ a ʔ n aɔ s a c c ɛă ʔ pʰ iɜ p
អនោសជ្ជ	ʔ a ʔ n aɔ s a c c ɛă ʔ
អន់ចិត្ត	ʔ ɑ n c e t
អន់ឌី	ʔ ɑ n d iː
អន់	ʔ ɑ n
អន្ដរជាតិ	ʔ ɑ n d ɑː c iɜ t
អន្ដរធាន	ʔ ɑ n d ɑː tʰ iɜ n
អន្ដរ	ʔ ɑ n d ɑː
អន្តគុណ	ʔ ɑ n t a ʔ k ʋ n
អន្តយ	ʔ ɑ n t ɑː j
អន្តរកម្ម	ʔ ɑ n t a ʔ r a ʔ k a m
អន្តរកាល	ʔ ɑ n t a ʔ r a ʔ k aː l
អន្តរជាតិ	ʔ ɑ n t a ʔ r a ʔ c iɜ t
អន្តរដ្ឋកា	ʔ ɑ n t a ʔ r a t tʰ a ʔ k aː
អន្តរដ្ឋ	ʔ ɑ n t a ʔ r oă t
អន្តរត្ថវាចក	ʔ ɑ n t a ʔ r a t tʰ a ʔ β̞ iɜ c ɑ ʔ
អន្តរវាសក	ʔ ɑ n t a ʔ r a ʔ β̞ iɜ s ɑ ʔ
អន្តរាគមន៍	ʔ ɑ n t a ʔ r aː k ʋ m
អន្តរាគម	ʔ ɑ n t a ʔ r aː k ʋ m
អន្តរាយ	ʔ ɑ n t a ʔ r aː j
អន្តរា	ʔ ɑ n t a ʔ r aː
អន្តរីប	ʔ ɑ n t a ʔ r iː p
អន្តរី	ʔ ɑ n t a ʔ r ɜi
អន្តរ	ʔ ɑ n t a ʔ r a ʔ
អន្តសយ្យា	ʔ ɑ n t a ʔ s ai j aː
អន្តាក់អន្តិច	ʔ ɑ n t a ʔ ʔ ɑ n t e c
អន្តាក់	ʔ ɑ n t a ʔ
អន្តាប	ʔ ɑ n t aː p
អន្តាយ	ʔ ɑ n t aː j
អន្តិច	ʔ ɑ n t e c
អន្តិតអន្តូង	ʔ ɑ n t e t ʔ ɑ n t oʊ ŋ
អន្តិត	ʔ ɑ n t e t
អន្តិម	ʔ ɑ n t e m
អន្តឺត	ʔ ɑ n t ɜɘ t
អន្តឺរ៉ឺរ៉ឺត	ʔ ɑ n t ɜɘ r ɜɘ r ɜɘ t
អន្តុយ	ʔ ɑ n t o j
អន្តុល	ʔ ɑ n t o l
អន្តូង	ʔ ɑ n t oʊ ŋ
អន្តេបអន្តាប	ʔ ɑ n t ɛe p ʔ ɑ n t aː p
អន្តេប	ʔ ɑ n t ɛe p
អន្តេវាសិកដ្ឋាន	ʔ ɑ n t ɛe β̞ iɜ s e k a t tʰ aː n
អន្តេវាសិក	ʔ ɑ n t ɛe β̞ iɜ s e k
អន្តេវាសិន	ʔ ɑ n t ɛe β̞ iɜ s e n
អន្តេវា	ʔ ɑ n t ɛe β̞ iɜ
អន្តេ	ʔ ɑ n t ɛe
អន្តៃ	ʔ ɑ n t ai
អន្តោ	ʔ ɑ n t aɔ
អន្តៈ	ʔ ɑ n t a ʔ
អន្ត្រត	ʔ ɑ n t r ɑː t
អន្ត្រាក់	ʔ ɑ n t r a ʔ
អន្ត្រឹក	ʔ ɑ n t r ɜ k
អន្ត្រើក	ʔ ɑ n t r aɜ k
អន្ត្រោក	ʔ ɑ n t r aɔ k
អន្ត	ʔ ɑ n
អន្ថម	ʔ ɑ n tʰ ɑː m
អន្ថឺម	ʔ ɑ n tʰ ɜɘ m
អន្ថោច	ʔ ɑ n tʰ aɔ c
អន្ទងអំបោះ	ʔ ɑ n t ɔː ŋ ʔ ɑ m b ɑ h
អន្ទង់បារ	ʔ ɑ n t ʋ ŋ b aː
អន្ទង់វិត	ʔ ɑ n t ʋ ŋ β̞ i t
អន្ទង់អាំង	ʔ ɑ n t ʋ ŋ ʔ a ŋ
អន្ទង់	ʔ ɑ n t ʋ ŋ
អន្ទង	ʔ ɑ n t ɔː ŋ
អន្ទាក់ខ្លា	ʔ ɑ n t ɛă ʔ kʰ l aː
អន្ទាក់	ʔ ɑ n t ɛă ʔ
អន្ទាំស្លា	ʔ ɑ n t oă m s l aː
អន្ទាំ	ʔ ɑ n t oă m
អន្ទិល	ʔ ɑ n t i l
អន្ទឺរឺរឺត	ʔ ɑ n t ɜɘ r ɜɘ r ɜɘ t
អន្ទឺ	ʔ ɑ n t ɨː
អន្ទុ	ʔ ɑ n t ʋ
អន្ទើត	ʔ ɑ n t ɘː t
អន្ទោកអន្ទោល	ʔ ɑ n t oː k ʔ ɑ n t oː l
អន្ទោក	ʔ ɑ n t oː k
អន្ទោល	ʔ ɑ n t oː l
អន្ទះសា	ʔ ɑ n t ɛă h s aː
អន្ទះ	ʔ ɑ n t ɛă h
អន្ទ្រក់	ʔ ɑ n t r ɔ ʔ
អន្ទ្រត	ʔ ɑ n t r ɔː t
អន្ទ្រាម	ʔ ɑ n t r iɜ m
អន្ទ្រឺត	ʔ ɑ n t r ɜɘ t
អន្ទ្រូត	ʔ ɑ n t r uː t
អន្ទ្រើត	ʔ ɑ n t r ɘː t
អន្ទ្រើម	ʔ ɑ n t r ɘː m
អន្ធការ	ʔ ɑ n tʰ ɛă ʔ k aː
អន្ធិល	ʔ ɑ n tʰ i l
អន្ធូ	ʔ ɑ n tʰ uː
អន្ធួម	ʔ ɑ n tʰ uɜ m
អន្ធើម	ʔ ɑ n tʰ ɘː m
អន្ធោភាសន៍	ʔ ɑ n tʰ oː pʰ iɜ h
អន្ធោ	ʔ ɑ n tʰ oː
អន្ធ	ʔ ɑ n tʰ ɛă ʔ
អន្ន	ʔ ɑ n n a ʔ
អន្យតិរ្ថិយសាសន៍	ʔ ɑ n d ɛe r ɔː tʰ ɜi s a h
អន្យតិរ្ថិយ	ʔ ɑ n d ɛe r ɔː tʰ ɜi
អន្យបទ	ʔ ɑ n j a ʔ b ɑ t
អន្យ	ʔ ɑ n
អន្លក់	ʔ ɑ n l ɔ ʔ
អន្លង់សំណរ	ʔ ɑ n l ʋ ŋ s ɑ m n ɑː
អន្លង់	ʔ ɑ n l ʋ ŋ
អន្លង	ʔ ɑ n l ɔː ŋ
អន្លាយ	ʔ ɑ n l aː j
អន្លឹប	ʔ ɑ n l ɘ p
អន្លូង	ʔ ɑ n l uː ŋ
អន្លូញ	ʔ ɑ n l uː ɲ
អន្លើ	ʔ ɑ n l ɘː
